premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,ollama_category,business_type_final,is_chain
CHICK-O-RICO,7510 PINEVILLE-MATTHEWS RD,Charlotte,NC,,CHICK-O-RICO,,other,fast_food_chicken,fast_food_chicken,0
CHICKEN BOX CAFE,1331 W SUGAR CREEK RD,Charlotte,NC,,CHICKEN BOX CAFE,,coffee_shop,,coffee_shop,0
CHICKEN KING #11,5201 NATIONS FORD RD,Charlotte,NC,,CHICKEN KING,,fast_food_chicken,,fast_food_chicken,0
CHICKEN KING #16,7016 E W T HARRIS BV,Charlotte,NC,,CHICKEN KING,,fast_food_chicken,,fast_food_chicken,0
CHICKEN KING #20,7825 NATIONS FORD RD,Charlotte,NC,,CHICKEN KING,,fast_food_chicken,,fast_food_chicken,0
CHICKEN KING #9,2400 W SUGAR CREEK RD,Charlotte,NC,,CHICKEN KING,,fast_food_chicken,,fast_food_chicken,0
CHICKEN KING 14,13215 GENERAL DR,Charlotte,NC,,CHICKEN KING,,fast_food_chicken,,fast_food_chicken,0
CHICKEN SALAD CHICK #0147,9516 RIVERBEND VILLAGE DR,Charlotte,NC,,CHICKEN SALAD CHICK,,fast_food_chicken,,fast_food_chicken,0
CHICKEN SALAD CHICK,2233 MATTHEWS TOWNSHIP PY,Charlotte,NC,,CHICKEN SALAD CHICK,,fast_food_chicken,,fast_food_chicken,0
CHICKEN SALAD CHICK,7617 PINEVILLE-MATTHEWS RD,Charlotte,NC,,CHICKEN SALAD CHICK,,fast_food_chicken,,fast_food_chicken,0
CHICKIE'S & PETE'S- CAROWINDS,14523 CAROWINDS BV,Charlotte,NC,,CHICKIE S & PETE S- CAROWINDS,,other,fast_food_chicken,fast_food_chicken,0
CHILI'S GRILL & BAR #1110,8325 NORTHLAKE COMMONS BV,Charlotte,NC,,CHILI S GRILL & BAR,,bar,,bar,0
CHILI'S GRILL & BAR #1121,9730 REA RD,Charlotte,NC,,CHILI S GRILL & BAR,,bar,,bar,0
CHILI'S GRILL & BAR #175,2521 SARDIS RD N,Charlotte,NC,,CHILI S GRILL & BAR,,bar,,bar,0
CHILI'S GRILL & BAR #411,500 UNIVERSITY CENTER BV,Charlotte,NC,,CHILI S GRILL & BAR,,bar,,bar,0
CHILI'S GRILL & BAR #485,16632 STATESVILLE RD,Charlotte,NC,,CHILI S GRILL & BAR,,bar,,bar,0
CHILI'S GRILL & BAR #66,5521 WESTPARK DR,Charlotte,NC,,CHILI S GRILL & BAR,,bar,,bar,0
CHIMA STEAKHOUSE,139 S TRYON ST,Charlotte,NC,,CHIMA STEAKHOUSE,,coffee_shop,,coffee_shop,0
CHIN CHIN II,9013 ALBEMARLE RD,Charlotte,NC,,CHIN CHIN II,,other,asian_chinese,asian_chinese,0
CHIN CHIN RESTAURANT,9856 MONROE RD,Charlotte,NC,,CHIN CHIN RESTAURANT,,full_service,,full_service,0
CHIN GARDEN,4420 THE PLAZA,Charlotte,NC,,CHIN GARDEN,,other,asian_chinese,asian_chinese,0
CHINA BUFFET,9931 LEE ST,Charlotte,NC,,CHINA BUFFET,,other,asian_chinese,asian_chinese,0
CHINA CAFE,10230 BERKELEY PLACE DR,Charlotte,NC,,CHINA CAFE,,coffee_shop,,coffee_shop,0
CHINA EXPRESS II,3607 MATTHEWS-MINT HILL RD,Charlotte,NC,,CHINA EXPRESS II,,other,asian_chinese,asian_chinese,0
CHINA EXPRESS,315 S POLK ST,Charlotte,NC,,CHINA EXPRESS,,other,asian_chinese,asian_chinese,0
CHINA FUN,5716 WYALONG DR,Charlotte,NC,,CHINA FUN,,other,asian_chinese,asian_chinese,0
CHINA GARDEN #3,8016 CAMBRIDGE COMMONS DR,Charlotte,NC,,CHINA GARDEN,,other,asian_chinese,asian_chinese,0
CHINA INN,5630 N GRAHAM ST,Charlotte,NC,,CHINA INN,,other,asian_chinese,asian_chinese,0
CHINA PALACE,9211 N TRYON ST,Charlotte,NC,,CHINA PALACE,,other,asian_chinese,asian_chinese,0
CHINA SAUTE,9248 ALBEMARLE RD,Charlotte,NC,,CHINA SAUTE,,other,asian_chinese,asian_chinese,0
CHINA SHUTTLE,310 E TRADE ST,Charlotte,NC,,CHINA SHUTTLE,,other,asian_chinese,asian_chinese,0
CHINA TEA ROOM,11112 S TRYON ST,Charlotte,NC,,CHINA TEA ROOM,,coffee_shop,,coffee_shop,0
CHINATOWN,13000 S TRYON ST,Charlotte,NC,,CHINATOWN,,other,asian_chinese,asian_chinese,0
CHIPOTLE #2453,7800 REA RD,Charlotte,NC,,CHIPOTLE,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL # 2751,11619 WAVERLY CENTER DR,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #0991,2921 PROVIDENCE RD,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #1007,1909 MATTHEWS TOWNSHIP PY,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #1510,7724 PINEVILLE-MATTHEWS RD,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #1584,239 S KINGS DR,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #1826 SOUTHPARK MALL,4400 SHARON RD,Charlotte,NC,,CHIPOTLE MEXICAN GRILL SOUTHPARK MALL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #1874,9335 N TRYON ST,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #2183,8830 LINDHOLM DR,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #2939,9821 NORTHLAKE CENTRE PY,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #3095,2312 WHITEHALL PARK DR,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #3125,6925 UNIVERSITY CITY BV,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #3138,3320 POTOMAC RIVER PY,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #3751 MINT HILL,9030 ALBEMARLE RD,Charlotte,NC,,CHIPOTLE MEXICAN GRILL MINT HILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL #4606,4022 CONNECTION POINT BV,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE MEXICAN GRILL,2109 SOUTH BV,Charlotte,NC,,CHIPOTLE MEXICAN GRILL,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHIPOTLE UPTOWN #3453,316 S TRYON ST,Charlotte,NC,,CHIPOTLE UPTOWN,CHIPOTLE,fast_food_mexican,,fast_food_mexican,1
CHOI’S KOREA & WING,808 E ARROWOOD RD,Charlotte,NC,,CHOI S KOREA & WING,,other,asian_chinese,asian_chinese,0
CHOPLINS RESTAURANT,19700 ONE NORMAN BV,Charlotte,NC,,CHOPLINS RESTAURANT,,full_service,,full_service,0
CHOPT CREATIVE SALAD ARBORETUM,8022 PROVIDENCE RD,Charlotte,NC,,CHOPT CREATIVE SALAD ARBORETUM,,other,other,other,0
CHOPT CREATIVE SALAD BLAKENEY,9844 REA RD,Charlotte,NC,,CHOPT CREATIVE SALAD BLAKENEY,,other,fast_food_sandwich,fast_food_sandwich,0
CHOPT CREATIVE SALAD UPTOWN,212 S TRYON ST,Charlotte,NC,,CHOPT CREATIVE SALAD UPTOWN,,other,other,other,0
CHOPT CREATIVE SALAD,4125 PARK RD,Charlotte,NC,,CHOPT CREATIVE SALAD,,other,other,other,0
CHUB'Z FAMOUS CHILIBURGERS AND FRIES,200 W WOODLAWN RD,Charlotte,NC,,CHUB Z FAMOUS CHILIBURGERS AND FRIES,,fast_food_burger,,fast_food_burger,0
CHUCK E CHEESE #39,5612 ALBEMARLE RD,Charlotte,NC,,CHUCK E CHEESE,,other,fast_food_pizza,fast_food_pizza,0
CHUCK E CHEESE #S064,7701 PINEVILLE-MATTHEWS RD,Charlotte,NC,,CHUCK E CHEESE S064,,other,fast_food_pizza,fast_food_pizza,0
CHUCK'S GRILL,8001 OLD STATESVILLE RD,Charlotte,NC,,CHUCK S GRILL,,full_service,,full_service,0
CHURCH & UNION,127 N TRYON ST,Charlotte,NC,,CHURCH & UNION,,other,other,other,0
CHURCH'S CHICKEN,3217 EASTWAY DR,Charlotte,NC,,CHURCH S CHICKEN,,fast_food_chicken,,fast_food_chicken,0
CHURCHS CHICKEN #598,3443 WILKINSON BV,Charlotte,NC,,CHURCHS CHICKEN,,fast_food_chicken,,fast_food_chicken,0
CHUYS,7314 WAVERLY WALK AV,Charlotte,NC,,CHUYS,,other,fast_food_mexican,fast_food_mexican,0
CICCHETTI,100  N TRYON  ST,Charlotte,NC,,CICCHETTI,,other,other,other,0
CICI'S PIZZA #353,10901 UNIVERSITY CITY BV,Charlotte,NC,,CICI S PIZZA,,pizza,,pizza,0
CICIS PIZZA,1804 WINDSOR SQUARE DR,Charlotte,NC,,CICIS PIZZA,,pizza,,pizza,0
CILANTRO NOODLE / OHCA TIME,2001 COMMONWEALTH AV,Charlotte,NC,,CILANTRO NOODLE / OHCA TIME,,other,asian_chinese,asian_chinese,0
CINERGY 109,5336 DOCIA CROSSING RD,Charlotte,NC,,CINERGY,,other,other,other,0
CIRCLE G,4818 ROZZELLES FERRY RD,Charlotte,NC,,CIRCLE G,,other,fast_food_burger,fast_food_burger,0
CIRCLE K #1935,1809 EAST ARBORS DR,Charlotte,NC,,CIRCLE K,,other,grocery_deli,grocery_deli,0
CIRCLE K #2721553/ SUBWAY #4290,7747 N TRYON ST,Charlotte,NC,,CIRCLE K / SUBWAY,SUBWAY,fast_food_sandwich,,fast_food_sandwich,1
CIRCLE K #3270,18635 OLD STATESVILLE RD,Charlotte,NC,,CIRCLE K,,other,grocery_deli,grocery_deli,0
CIRCLE K#2723978,8008 HARRIS STATION BV,Charlotte,NC,,CIRCLE K,,other,grocery_deli,grocery_deli,0
CITY BARBEQUE,11212 PROVIDENCE RD W,Charlotte,NC,,CITY BARBEQUE,,bar,,bar,0
CITY BARBEQUE,15425 HODGES CR,Charlotte,NC,,CITY BARBEQUE,,bar,,bar,0
CITY BARBEQUE,8948 J M KEYNES DR,Charlotte,NC,,CITY BARBEQUE,,bar,,bar,0
CITY BBQ GALLERIA,1514 GALLERIA BV,Charlotte,NC,,CITY BBQ GALLERIA,,bbq,,bbq,0
CITY CENTER COURTYARD MARRIOTT,237 S TRYON ST,Charlotte,NC,,CITY CENTER COURTYARD MARRIOTT,,other,full_service,full_service,0
CITY GRILL AND WINGS UNIVERSITY,1001 CHANCELLOR PARK DR,Charlotte,NC,,CITY GRILL AND WINGS UNIVERSITY,,fast_food_chicken,,fast_food_chicken,0
"CITY KITCH WEST END, THE",2200 THRIFT RD,Charlotte,NC,,CITY KITCH WEST END,,other,other,other,0
CLEAN CATCH FISH MARKET,2820 SELWYN AV,Charlotte,NC,,CLEAN CATCH FISH MARKET,,grocery_deli,,grocery_deli,0
CLEAN EATZ,17111 KENTON DR,Charlotte,NC,,CLEAN EATZ,,other,fast_food_burger,fast_food_burger,0
CLEAN EATZ,2215 AYRSLEY TOWN BV,Charlotte,NC,,CLEAN EATZ,,other,fast_food_burger,fast_food_burger,0
CLEAN JUICE - BIRKDALE,16623 BIRKDALE COMMONS PY,Charlotte,NC,,CLEAN JUICE - BIRKDALE,,other,food_truck,other,0
CLEAN JUICE DAVIDSON,605 JETTON ST,Charlotte,NC,,CLEAN JUICE DAVIDSON,,other,food_truck,other,0
CLEAN JUICE REA FARMS,9826 SANDY ROCK PL,Charlotte,NC,,CLEAN JUICE REA FARMS,,other,grocery_deli,grocery_deli,0
CLEAN JUICE SOUTHEND,1616 CAMDEN RD,Charlotte,NC,,CLEAN JUICE SOUTHEND,,other,food_truck,other,0
CLEAN JUICE STEELE CREEK,4833 BEREWICK TOWN CENTER DR,Charlotte,NC,,CLEAN JUICE STEELE CREEK,,other,food_truck,other,0
CLEAN JUICE STONECREST,7918 REA RD,Charlotte,NC,,CLEAN JUICE STONECREST,,other,food_truck,other,0
CLEAN JUICE,2225 MATTHEWS TOWNSHIP PY,Charlotte,NC,,CLEAN JUICE,,other,food_truck,other,0
"CLUB CLT, THE",5501 JOSH BIRMINGHAM PY,Charlotte,NC,,CLUB CLT,,other,bar,bar,0
CLUB ONYX,5300 OLD PINEVILLE RD,Charlotte,NC,,CLUB ONYX,,other,bar,bar,0
CLUB WEST BREWING,2151 HAWKINS ST,Charlotte,NC,,CLUB WEST BREWING,,other,bar,bar,0
CLUTCH KITCHEN AND POURHOUSE,601 S CEDAR ST,Charlotte,NC,,CLUTCH KITCHEN AND POURHOUSE,,full_service,,full_service,0
CO RESTAURANT,7416 WAVERLY WALK AV,Charlotte,NC,,RESTAURANT,,full_service,,full_service,0
COASTAL KITCHEN & BAR,222 E 3RD ST,Charlotte,NC,,COASTAL KITCHEN & BAR,,bar,,bar,0
COASTERS,14523 CAROWINDS BV,Charlotte,NC,,COASTERS,,other,fast_food_burger,fast_food_burger,0
COCO & THE DIRECTOR,100 W TRADE ST,Charlotte,NC,,COCO & THE DIRECTOR,,other,coffee_shop,coffee_shop,0
COCO BEAN COFFEE,9335 CENTER LAKE DR,Charlotte,NC,,COCO BEAN COFFEE,,coffee_shop,,coffee_shop,0
COCO MEXICAN RESTAURANT,6914 MATTHEWS MINT HILL RD,Charlotte,NC,,COCO MEXICAN RESTAURANT,,mexican,,mexican,0
COFFEE REPUBLIC #8 BALLANTYNE,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,COFFEE REPUBLIC BALLANTYNE,,coffee_shop,,coffee_shop,0
COFFEE REPUBLIC,3016 WEDDINGTON RD,Charlotte,NC,,COFFEE REPUBLIC,,coffee_shop,,coffee_shop,0
COFFEY CREEK CAFE,1700 CENTER PARK DR,Charlotte,NC,,COFFEY CREEK CAFE,,coffee_shop,,coffee_shop,0
COIN BAR (OMNI HOTEL POOL DECK),132 E TRADE ST,Charlotte,NC,,COIN BAR OMNI HOTEL POOL DECK,,bar,,bar,0
COLLINS AEROSPACE,2730 W TYVOLA RD,Charlotte,NC,,COLLINS AEROSPACE,,other,institutional,institutional,0
COMET GRILL,2224 PARK RD,Charlotte,NC,,COMET GRILL,,full_service,,full_service,0
COMFORT INN & SUITES,19521 LIVERPOOL PY,Charlotte,NC,,COMFORT INN & SUITES,,other,institutional,institutional,0
COMFORT INN MATTHEWS,1718 WINDSOR CROSSING DR,Charlotte,NC,,COMFORT INN MATTHEWS,,other,institutional,institutional,0
COMFORT SUITES #391,3425 MULBERRY CHURCH RD,Charlotte,NC,,COMFORT SUITES,,other,institutional,institutional,0
COMFORT SUITES NORTHLAKE,7315 SMITH CORNERS BV,Charlotte,NC,,COMFORT SUITES NORTHLAKE,,other,institutional,institutional,0
COMFORT SUITES PINEVILLE,10415 CENTRUM PY,Charlotte,NC,,COMFORT SUITES PINEVILLE,,other,institutional,institutional,0
COMFORT SUITES,16905 CALDWELL CREEK DR,Charlotte,NC,,COMFORT SUITES,,other,institutional,institutional,0
COMFORT SUITES,7735 UNIVERSITY CITY BV,Charlotte,NC,,COMFORT SUITES,,other,institutional,institutional,0
COMMON MARKET OAKWOLD,4420 MONROE RD,Charlotte,NC,,COMMON MARKET OAKWOLD,,grocery_deli,,grocery_deli,0
COMMON MARKET SOUTH END,235 W TREMONT AV,Charlotte,NC,,COMMON MARKET SOUTH END,,grocery_deli,,grocery_deli,0
COMMON MARKET,2007 COMMONWEALTH AV,Charlotte,NC,,COMMON MARKET,,grocery_deli,,grocery_deli,0
COMMONSPACE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,COMMONSPACE,,other,other,other,0
COMMUNITY CULINARY SCHOOL/ ENCORE CATERING,9315 MONROE RD,Charlotte,NC,,COMMUNITY CULINARY SCHOOL/ ENCORE CATERING,,other,institutional,institutional,0
COMMUNITY MATTERS CAFE,821 W 1ST ST,Charlotte,NC,,COMMUNITY MATTERS CAFE,,coffee_shop,,coffee_shop,0
COMO EN MEXICO,1125 E SUGAR CREEK RD,Charlotte,NC,,COMO EN MEXICO,,other,fast_food_mexican,fast_food_mexican,0
COMPARE FOODS DELI/KITCHEN,5601 SOUTH BV,Charlotte,NC,,COMPARE FOODS DELI/KITCHEN,,fast_food_sandwich,,fast_food_sandwich,0
COMPASS/WELLS FARGO BREVARD,300 S BREVARD ST,Charlotte,NC,,COMPASS/WELLS FARGO BREVARD,,other,institutional,institutional,0
COMPASS/WELLS FARGO EMERALD COMMONS,1525 W W T HARRIS BV,Charlotte,NC,,COMPASS/WELLS FARGO EMERALD COMMONS,,other,institutional,institutional,0
CONDADO TACOS SOUTHEND,1515 S TRYON ST,Charlotte,NC,,CONDADO TACOS SOUTHEND,,mexican,,mexican,0
CONDADO TACOS,10706 PROVIDENCE RD,Charlotte,NC,,CONDADO TACOS,,mexican,,mexican,0
CONSPIRACY,412 W 5TH ST,Charlotte,NC,,CONSPIRACY,,other,other,other,0
CONVENTION CENTER/BANQUET KIT,501 S COLLEGE ST,Charlotte,NC,,CONVENTION CENTER/BANQUET KIT,,other,institutional,institutional,0
COOK OUT #124,10645 PARK RD,Charlotte,NC,,COOK OUT,COOK OUT,fast_food_burger,,fast_food_burger,1
COOK OUT #277,20220 WEST CATAWBA AV,Charlotte,NC,,COOK OUT,COOK OUT,fast_food_burger,,fast_food_burger,1
COOK OUT #40,425 HUNTERSVILLE GATEWAY BV,Charlotte,NC,,COOK OUT,COOK OUT,fast_food_burger,,fast_food_burger,1
COOK OUT #44,9705 N TRYON ST,Charlotte,NC,,COOK OUT,COOK OUT,fast_food_burger,,fast_food_burger,1
COOK OUT #68,1815 SARDIS RD N,Charlotte,NC,,COOK OUT,COOK OUT,fast_food_burger,,fast_food_burger,1
"COOKING POT, THE",5622 E INDEPENDENCE BV,Charlotte,NC,,COOKING POT,,other,other,other,0
COOL FISH,21726 CATAWBA AV,Charlotte,NC,,COOL FISH,,other,seafood,seafood,0
COPAIN CATERING KITCHEN,6601 CARNEGIE BV,Charlotte,NC,,COPAIN CATERING KITCHEN,,full_service,,full_service,0
COPAN RESTAURANT,3607 N SHARON AMITY RD,Charlotte,NC,,COPAN RESTAURANT,,full_service,,full_service,0
COPPER,311 EAST BV,Charlotte,NC,,COPPER,,other,other,other,0
COQUETTE,400 S TRYON ST,Charlotte,NC,,COQUETTE,,other,bar,bar,0
"CORNER BAR, THE",2016 AYRSLEY TOWN BV,Charlotte,NC,,CORNER BAR,,bar,,bar,0
CORNER CAFE & CATERING,11200 NATIONS FORD RD,Charlotte,NC,,CORNER CAFE & CATERING,,coffee_shop,,coffee_shop,0
CORNER CAFE @ SIEMENS,5101 WESTINGHOUSE BV,Charlotte,NC,,CORNER CAFE SIEMENS,,coffee_shop,,coffee_shop,0
COSTA DEL SOL PINEVILLE,10215 PARK RD,Charlotte,NC,,COSTA DEL SOL PINEVILLE,,other,other,other,0
COSTA DEL SOL,8045 SOUTH BV,Charlotte,NC,,COSTA DEL SOL,,other,fast_food_burger,fast_food_burger,0
COSTA DEL SOL,809 E ARROWOOD RD,Charlotte,NC,,COSTA DEL SOL,,other,fast_food_burger,fast_food_burger,0
COSTCO #359 CAFE,500 TYVOLA RD,Charlotte,NC,,COSTCO CAFE,,coffee_shop,,coffee_shop,0
COSTCO #367 FOOD COURT,2125 MATTHEWS TOWNSHIP PY,Charlotte,NC,,COSTCO FOOD COURT,,other,grocery_deli,grocery_deli,0
COTTAGE EXPRESS,7209 E W T HARRIS BV,Charlotte,NC,,COTTAGE EXPRESS,,other,fast_food_burger,fast_food_burger,0
COTTAGE,6701 N TRYON ST,Charlotte,NC,,COTTAGE,,other,other,other,0
COTTAGE,7705 S TRYON ST,Charlotte,NC,,COTTAGE,,other,other,other,0
COUNTER,2001 W MOREHEAD ST,Charlotte,NC,,COUNTER,,other,fast_food_burger,fast_food_burger,0
COUNTRY INN & SUITES BY RADISSON,2541 LITTLE ROCK RD,Charlotte,NC,,COUNTRY INN & SUITES BY RADISSON,,other,full_service,full_service,0
COUNTRY INN & SUITES,16617 STATESVILLE RD,Charlotte,NC,,COUNTRY INN & SUITES,,other,institutional,institutional,0
COUNTRY INN AND SUITES CHARLOTTE UNIVERSITY,131 E MCCULLOUGH DR,Charlotte,NC,,COUNTRY INN AND SUITES CHARLOTTE UNIVERSITY,,other,institutional,institutional,0
COURTYARD BISTRO,11425 E INDEPENDENCE BV,Charlotte,NC,,COURTYARD BISTRO,,full_service,,full_service,0
COURTYARD BISTRO,9110 HARRIS CORNERS PY,Charlotte,NC,,COURTYARD BISTRO,,full_service,,full_service,0
COURTYARD BY MARRIOTT BALLANTYNE,15635 DON LOCHMAN LN,Charlotte,NC,,COURTYARD BY MARRIOTT BALLANTYNE,,other,institutional,institutional,0
COURTYARD BY MARRIOTT CHARLOTTE ARROWOOD,800 W ARROWOOD RD,Charlotte,NC,,COURTYARD BY MARRIOTT CHARLOTTE ARROWOOD,,other,institutional,institutional,0
COURTYARD BY MARRIOTT,8536 OUTLETS BV,Charlotte,NC,,COURTYARD BY MARRIOTT,,other,institutional,institutional,0
COURTYARD CHARLOTTE WAVERLY,6319 PROVIDENCE FARM LN,Charlotte,NC,,COURTYARD CHARLOTTE WAVERLY,,other,other,other,0
COURTYARD MARRIOT,2700 LITTLE ROCK RD,Charlotte,NC,,COURTYARD MARRIOT,,other,full_service,full_service,0
COVENANT PRESBYTERIAN CHURCH,1000 E MOREHEAD ST,Charlotte,NC,,COVENANT PRESBYTERIAN CHURCH,,other,institutional,institutional,0
COWBELL,201 N TRYON ST,Charlotte,NC,,COWBELL,,other,fast_food_burger,fast_food_burger,0
"COWFISH, THE",4310 SHARON RD,Charlotte,NC,,COWFISH,,other,seafood,seafood,0
CO,4201 PARK RD,Charlotte,NC,,,,other,other,other,0
"CRAB CRACKER, THE",8640 UNIVERSITY CITY BV,Charlotte,NC,,CRAB CRACKER,,seafood,,seafood,0
CRAB DU JOUR CAJUN SEAFOOD RESTAURANT & BAR,8140 S TRYON ST,Charlotte,NC,,CRAB DU JOUR CAJUN SEAFOOD RESTAURANT & BAR,,bar,,bar,0
CRAB DU JOUR,1015 CHANCELLOR PARK DR,Charlotte,NC,,CRAB DU JOUR,,seafood,,seafood,0
CRACKER BARREL,3203 QUEEN CITY DR,Charlotte,NC,,CRACKER BARREL,,bar,,bar,0
CRACKER BARREL,9330 E INDEPENDENCE BV,Charlotte,NC,,CRACKER BARREL,,bar,,bar,0
CRACKIN CRAWFISH,440 E MCCULLOUGH DR,Charlotte,NC,,CRACKIN CRAWFISH,,other,seafood,seafood,0
CRAFT ON 14 TRUIST CENTER,214 N TRYON ST,Charlotte,NC,,CRAFT ON TRUIST CENTER,,other,other,other,0
CRAFT TASTING ROOM GROWLER SHOP,1320 S CHURCH ST,Charlotte,NC,,CRAFT TASTING ROOM GROWLER SHOP,,other,other,other,0
CRAFTY BURGR N TAP ANTIQUITY,21726 CATAWBA AV,Charlotte,NC,,CRAFTY BURGR N TAP ANTIQUITY,,other,fast_food_burger,fast_food_burger,0
CRAFTY BURGR N TAP,17015 KENTON DR,Charlotte,NC,,CRAFTY BURGR N TAP,,other,fast_food_burger,fast_food_burger,0
CRAFTY CRAB SEAFOOD,8933 J M KEYNES DR,Charlotte,NC,,CRAFTY CRAB SEAFOOD,,seafood,,seafood,0
CRAVE DESSERT BAR,500 W 5TH STREET,Charlotte,NC,,CRAVE DESSERT BAR,,bar,,bar,0
CRAVE HOTDOGS & BARBECUE,282 S SHARON AMITY RD,Charlotte,NC,,CRAVE HOTDOGS & BARBECUE,,bar,,bar,0
CRAZY HORSE SHOWCLUB,5321 E INDEPENDENCE BV,Charlotte,NC,,CRAZY HORSE SHOWCLUB,,other,other,other,0
"CRAZY PIG, THE",402 S MAIN ST,Charlotte,NC,,CRAZY PIG,,other,fast_food_pizza,fast_food_pizza,0
CREATIVE CATERING,1401 ALLEN ST,Charlotte,NC,,CREATIVE CATERING,,other,other,other,0
CREPE BISTRO GALLERIA,1605 GALLERIA BV,Charlotte,NC,,CREPE BISTRO GALLERIA,,full_service,,full_service,0
CRISPY BANH MI #4,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,CRISPY BANH MI,,other,fast_food_mexican,fast_food_mexican,0
CRISPY BANH MI,2130 AYRSLEY TOWN BV,Charlotte,NC,,CRISPY BANH MI,,other,fast_food_mexican,fast_food_mexican,0
CRISPY BANH MI,2934 SHAMROCK DR,Charlotte,NC,,CRISPY BANH MI,,other,fast_food_mexican,fast_food_mexican,0
CRISPY BANH MI,5100 SOUTH BV,Charlotte,NC,,CRISPY BANH MI,,other,fast_food_mexican,fast_food_mexican,0
CROWN DINER/DUNKIN - CONCOURSE A,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,CROWN DINER/DUNKIN - CONCOURSE A,DUNKIN,coffee_shop,,coffee_shop,1
CRUNCH BISTRO,401 N TRYON ST,Charlotte,NC,,CRUNCH BISTRO,,full_service,,full_service,0
"CRUNKLETON, THE",1957 E 7TH ST,Charlotte,NC,,CRUNKLETON,,other,other,other,0
"CRUST PIZZA PROMENADE, THE",10710 PROVIDENCE RD,Charlotte,NC,,CRUST PIZZA PROMENADE,,pizza,,pizza,0
"CRUST PIZZA, THE",1600 E WOODLAWN RD,Charlotte,NC,,CRUST PIZZA,,pizza,,pizza,0
CRU,3428 N TRYON ST,Charlotte,NC,,CRU,,other,bbq,bbq,0
CULINARY DROPOUT,1120 S TRYON ST,Charlotte,NC,,CULINARY DROPOUT,,other,other,other,0
"CULTURE SHOP, THE",1425 KENNON ST,Charlotte,NC,,CULTURE SHOP,,other,other,other,0
CULVERS OF CHARLOTTE,7031 UNIVERSITY CITY BV,Charlotte,NC,,CULVERS OF CHARLOTTE,,other,fast_food_burger,fast_food_burger,0
CURRY GATE 2,5516 SOUTH BV,Charlotte,NC,,CURRY GATE,,other,other,other,0
CURRY GATE,630 W 24TH ST,Charlotte,NC,,CURRY GATE,,other,mexican,mexican,0
CURRY JUNCTION,8200 PROVIDENCE RD,Charlotte,NC,,CURRY JUNCTION,,other,mexican,mexican,0
"CUSTOMSHOP, THE",1601 ELIZABETH AV,Charlotte,NC,,CUSTOMSHOP,,other,other,other,0
CUZCATLAN,4800 CENTRAL AV,Charlotte,NC,,CUZCATLAN,,other,mexican,mexican,0
CUZZOS CUISINE II,9601 N TRYON ST,Charlotte,NC,,CUZZOS CUISINE II,,other,fast_food_mexican,fast_food_mexican,0
D.D. PECKERS WING SHACK,10403 PARK RD,Charlotte,NC,,D D PECKERS WING SHACK,,other,fast_food_chicken,fast_food_chicken,0
