premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual,ollama_category,ollama_confidence,ollama_reason,ollama_raw
CRAFTY BURGR N TAP,17015 KENTON DR,Charlotte,NC,,CRAFTY BURGR N TAP,,other,,fast_food_burger,1.0,Typical characteristics of a burger restaurant,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical characteristics of a burger restaurant""}"
CRAFTY BURGR N TAP ANTIQUITY,21726 CATAWBA AV,Charlotte,NC,,CRAFTY BURGR N TAP ANTIQUITY,,other,,fast_food_burger,1.0,Typical fast food burger establishment,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger establishment""}"
CRAZY HORSE SHOWCLUB,5321 E INDEPENDENCE BV,Charlotte,NC,,CRAZY HORSE SHOWCLUB,,other,,other,0.0,not enough information available,"{""category"":""other"",""confidence"":0.0,""reason"":""not enough information available""}"
"CRAZY PIG, THE",402 S MAIN ST,Charlotte,NC,,CRAZY PIG,,other,,fast_food_pizza,0.8,pizza establishment,"{""category"":""fast_food_pizza"",""confidence"":0.8,""reason"":""pizza establishment""}"
CREATIVE CATERING,1401 ALLEN ST,Charlotte,NC,,CREATIVE CATERING,,other,,other,0.0,uncertain,"{""category"":""other"",""confidence"":0.0,""reason"":""uncertain""}"
CRISPY BANH MI,2130 AYRSLEY TOWN BV,Charlotte,NC,,CRISPY BANH MI,,other,,fast_food_mexican,1.0,Vietnamese fast food restaurant specializing in banh mi sandwiches,"{""category"":""fast_food_mexican"",""confidence"":1.0,""reason"":""Vietnamese fast food restaurant specializing in banh mi sandwiches""}"
CRISPY BANH MI,2934 SHAMROCK DR,Charlotte,NC,,CRISPY BANH MI,,other,,fast_food_mexican,0.8,"Vietnamese cuisine is often associated with Mexican food, and 'banh mi' is a popular Vietnamese sandwich","{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""Vietnamese cuisine is often associated with Mexican food, and 'banh mi' is a popular Vietnamese sandwich""}"
CRISPY BANH MI,5100 SOUTH BV,Charlotte,NC,,CRISPY BANH MI,,other,,fast_food_mexican,1.0,Vietnamese cuisine typically associated with Mexican food,"{""category"":""fast_food_mexican"",""confidence"":1.0,""reason"":""Vietnamese cuisine typically associated with Mexican food""}"
CRISPY BANH MI #4,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,CRISPY BANH MI,,other,,fast_food_mexican,1.0,Vietnamese cuisine typically associated with Mexican food,"{""category"":""fast_food_mexican"",""confidence"":1.0,""reason"":""Vietnamese cuisine typically associated with Mexican food""}"
CRU,3428 N TRYON ST,Charlotte,NC,,CRU,,other,,bbq,1.0,,"{""category"":""bbq"",""confidence"":1.0}"
"CRUNKLETON, THE",1957 E 7TH ST,Charlotte,NC,,CRUNKLETON,,other,,other,0.9,Restaurant or bar name not found in database,"{""category"":""other"",""confidence"":0.9,""reason"":""Restaurant or bar name not found in database""}"
CULINARY DROPOUT,1120 S TRYON ST,Charlotte,NC,,CULINARY DROPOUT,,other,,other,1.0,No clear indication of food type or cuisine,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type or cuisine""}"
"CULTURE SHOP, THE",1425 KENNON ST,Charlotte,NC,,CULTURE SHOP,,other,,other,0.8,Cultural or community-focused store,"{""category"":""other"",""confidence"":0.8,""reason"":""Cultural or community-focused store""}"
CULVERS OF CHARLOTTE,7031 UNIVERSITY CITY BV,Charlotte,NC,,CULVERS OF CHARLOTTE,,other,,fast_food_burger,0.9,Typical fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food burger chain""}"
CURRY GATE,630 W 24TH ST,Charlotte,NC,,CURRY GATE,,other,,mexican,0.8,Indian restaurant often found in Mexican cuisine,"{""category"":""mexican"",""confidence"":0.8,""reason"":""Indian restaurant often found in Mexican cuisine""}"
CURRY GATE 2,5516 SOUTH BV,Charlotte,NC,,CURRY GATE,,other,,other,0.9,Indian restaurant not explicitly listed in categories,"{""category"":""other"",""confidence"":0.9,""reason"":""Indian restaurant not explicitly listed in categories""}"
CURRY JUNCTION,8200 PROVIDENCE RD,Charlotte,NC,,CURRY JUNCTION,,other,,mexican,1.0,"CURRY JUNCTION is a common name for Indian or Southeast Asian restaurants, and 'junction' suggests a casual dining experience typical of Mexican cuisine.","{""category"":""mexican"",""confidence"":1.0,""reason"":""CURRY JUNCTION is a common name for Indian or Southeast Asian restaurants, and 'junction' suggests a casual dining experience typical of Mexican cuisine.""}"
"CUSTOMSHOP, THE",1601 ELIZABETH AV,Charlotte,NC,,CUSTOMSHOP,,other,,other,0.8,No clear indication of food type,"{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of food type""}"
CUZCATLAN,4800 CENTRAL AV,Charlotte,NC,,CUZCATLAN,,other,,mexican,1.0,CUZCATLAN is a Mexican restaurant based on its name and location.,"{""category"":""mexican"",""confidence"":1.0,""reason"":""CUZCATLAN is a Mexican restaurant based on its name and location.""}"
CUZZOS CUISINE II,9601 N TRYON ST,Charlotte,NC,,CUZZOS CUISINE II,,other,,fast_food_mexican,0.8,Mexican food establishment,"{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""Mexican food establishment""}"
D.D. PECKERS WING SHACK,10403 PARK RD,Charlotte,NC,,D D PECKERS WING SHACK,,other,,fast_food_chicken,1.0,Typical chicken wing joint,"{""category"":""fast_food_chicken"",""confidence"":1.0,""reason"":""Typical chicken wing joint""}"
DAHLIAS,123 E 5TH ST,Charlotte,NC,,DAHLIAS,,other,,other,0.8,"No clear indication of food type, likely a restaurant or bar","{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of food type, likely a restaurant or bar""}"
"DAILY, THE",214 N CHURCH ST,Charlotte,NC,,DAILY,,other,,other,1.0,No clear indication of food type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type""}"
DAIRY QUEEN,108 S SHARON AMITY RD,Charlotte,NC,,DAIRY QUEEN,,other,,fast_food_burger,1.0,DAIRY QUEEN is a well-known fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""DAIRY QUEEN is a well-known fast food burger chain""}"
DAIRY QUEEN #11603,1819 MATTHEWS TOWNSHIP PY,Charlotte,NC,,DAIRY QUEEN,,other,,fast_food_burger,1.0,DAIRY QUEEN is a well-known fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""DAIRY QUEEN is a well-known fast food burger chain""}"
DAIRY QUEEN #12404,3020 PROSPERITY CHURCH RD,Charlotte,NC,,DAIRY QUEEN,,other,,fast_food_burger,1.0,DAIRY QUEEN is a well-known fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""DAIRY QUEEN is a well-known fast food burger chain""}"
DAIRY QUEEN EASTWAY #17165,3054 EASTWAY DR,Charlotte,NC,,DAIRY QUEEN EASTWAY,,other,,fast_food_burger,1.0,Dairy Queen is a fast-food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Dairy Queen is a fast-food burger chain""}"
DAVE AND BUSTERS,11049 CAROLINA PLACE PY,Charlotte,NC,,DAVE AND BUSTERS,,other,,sports_bar,0.9,entertainment venue with food and drinks,"{""category"":""sports_bar"",""confidence"":0.9,""reason"":""entertainment venue with food and drinks""}"
DAVIDSON SODA SHOP,104 S MAIN ST,Charlotte,NC,,DAVIDSON SODA SHOP,,other,,coffee_shop,0.8,Soda Shop often serves coffee and other beverages,"{""category"":""coffee_shop"",""confidence"":0.8,""reason"":""Soda Shop often serves coffee and other beverages""}"
DAVIDSON VILLAGE INN,117 DEPOT ST,Charlotte,NC,,DAVIDSON VILLAGE INN,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
DEFY CHARLOTTE,8116 UNIVERSITY CITY BV,Charlotte,NC,,DEFY CHARLOTTE,,other,,fast_food_burger,0.8,Typical fast food burger chain location,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger chain location""}"
"DEGENERATE, THE",2116 N DAVIDSON ST,Charlotte,NC,,DEGENERATE,,other,,bar,1.0,establishment name suggests a bar or nightlife venue,"{""category"":""bar"",""confidence"":1.0,""reason"":""establishment name suggests a bar or nightlife venue""}"
DELTA SKY CLUB- CONCOURSE A,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,DELTA SKY CLUB- CONCOURSE A,,other,,institutional,0.9,hotel/concourse,"{""category"":""institutional"",""confidence"":0.9,""reason"":""hotel/concourse""}"
DELUXE THE FUN ART OF DINING,305 W 4TH ST,Charlotte,NC,,DELUXE THE FUN ART OF DINING,,other,,other,0.8,"Upscale dining experience, no clear indication of specific cuisine or type","{""category"":""other"",""confidence"":0.8,""reason"":""Upscale dining experience, no clear indication of specific cuisine or type""}"
DENNYS #7646,4541 SUNSET RD,Charlotte,NC,,DENNYS,,other,,fast_food_burger,0.8,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger joint""}"
DEVON & BLAKELY,101 S TRYON ST,Charlotte,NC,,DEVON & BLAKELY,,other,,bbq,0.8,BBQ joint,"{""category"":""bbq"",""confidence"":0.8,""reason"":""BBQ joint""}"
DILWORTH TASTING ROOM,300 E TREMONT AV,Charlotte,NC,,DILWORTH TASTING ROOM,,other,,other,0.8,Restaurant or tasting room not clearly categorized,"{""category"":""other"",""confidence"":0.8,""reason"":""Restaurant or tasting room not clearly categorized""}"
DILWORTH TASTING ROOM SOUTHPARK,4905 ASHLEY PARK LN,Charlotte,NC,,DILWORTH TASTING ROOM SOUTHPARK,,other,,other,0.8,Restaurant or tasting room without clear indication of cuisine type,"{""category"":""other"",""confidence"":0.8,""reason"":""Restaurant or tasting room without clear indication of cuisine type""}"
DINOS,350 E SUGAR CREEK RD,Charlotte,NC,,DINOS,,other,,fast_food_burger,0.8,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger joint""}"
DISH,1220 THOMAS AV,Charlotte,NC,,DISH,,other,,fast_food_chicken,1.0,based on the name 'DISH' which is commonly associated with chicken restaurants,"{""category"":""fast_food_chicken"",""confidence"":1.0,""reason"":""based on the name 'DISH' which is commonly associated with chicken restaurants""}"
DISTRICT 57,1526 ALLEGHANY ST,Charlotte,NC,,DISTRICT,,other,,other,0.8,"No clear indication of food type, likely a non-food establishment","{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of food type, likely a non-food establishment""}"
DIVE N,109 N POLK ST,Charlotte,NC,,DIVE N,,other,,other,1.0,No clear indication of food type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type""}"
DOGWOOD,601 S COLLEGE ST,Charlotte,NC,,DOGWOOD,,other,,other,1.0,No clear indication of food type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type""}"
DOLCE OSTERIA,1710 KENILWORTH AV,Charlotte,NC,,DOLCE OSTERIA,,other,,other,0.8,Italian restaurant name and location,"{""category"":""italian"", ""confidence"":0.8, ""reason"":""Italian restaurant name and location""}"
DON'S,321 N CALDWELL ST,Charlotte,NC,,DON S,,other,,fast_food_burger,1.0,DON S is a fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""DON S is a fast food burger joint""}"
DORCHESTER,12930 DORMAN RD,Charlotte,NC,,DORCHESTER,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
DOS CAMINOS,601 S TRYON ST,Charlotte,NC,,DOS CAMINOS,,other,,mexican,1.0,DOS CAMINOS is a Mexican restaurant,"{""category"":""mexican"",""confidence"":1.0,""reason"":""DOS CAMINOS is a Mexican restaurant""}"
DOT DOT DOT,4237 PARK RD,Charlotte,NC,,DOT DOT DOT,,other,,other,1.0,No specific category available,"{""category"":""other"",""confidence"":1.0,""reason"":""No specific category available""}"
DOUBLETREE SUITES BY HILTON CHARLOTTE SOUTHPARK,6300 CARNEGIE BV,Charlotte,NC,,DOUBLETREE SUITES BY HILTON CHARLOTTE SOUTHPARK,,other,,institutional,1.0,Hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel""}"
DR. CHARLES L. SIFFORD GOLF COURSE,1225 REMOUNT RD,Charlotte,NC,,DR CHARLES L SIFFORD GOLF COURSE,,other,,other,0.0,golf course,"{""category"":""other"",""confidence"":0.0,""reason"":""golf course""}"
DRAGON BUFFET,8170 S TRYON ST,Charlotte,NC,,DRAGON BUFFET,,other,,buffet,1.0,buffet,"{""category"":""buffet"",""confidence"":1.0,""reason"":"" buffet""}"
DRURY INN & SUITES,415 W W T HARRIS BV,Charlotte,NC,,DRURY INN & SUITES,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
DRURY INN & SUITES CHARLOTTE ARROWOOD,8925 RED OAK BV,Charlotte,NC,,DRURY INN & SUITES CHARLOTTE ARROWOOD,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
DRURY INN AND SUITES,6920 NORTHLAKE MALL DR,Charlotte,NC,,DRURY INN AND SUITES,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
DTR PLAZA MIDWOOD,1413 CENTRAL AV,Charlotte,NC,,DTR PLAZA MIDWOOD,,other,,other,0.8,"No clear indication of food type, likely a venue or event space","{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of food type, likely a venue or event space""}"
DUCK DONUTS,1710 KENILWORTH AV,Charlotte,NC,,DUCK DONUTS,,other,,food_truck,1.0,Duck Donuts is a mobile donut shop,"{""category"":""food_truck"",""confidence"":1.0,""reason"":""Duck Donuts is a mobile donut shop""}"
DUKE MANSION,400 HERMITAGE RD,Charlotte,NC,,DUKE MANSION,,other,,other,0.0,residential building,"{""category"":""other"",""confidence"":0.0,""reason"":""residential building""}"
"EAGLE, THE",2120 SOUTH BV,Charlotte,NC,,EAGLE,,other,,fast_food_burger,1.0,EAGLE is a fast-food burger establishment,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""EAGLE is a fast-food burger establishment""}"
EARLY WAFFLE,11915 N TRYON ST,Charlotte,NC,,EARLY WAFFLE,,other,,bakery_cafe,0.8,waffle focused breakfast establishment,"{""category"":""bakery_cafe"",""confidence"":0.8,""reason"":""waffle focused breakfast establishment""}"
EASY LIKE SUNDAY,1600 E WOODLAWN RD,Charlotte,NC,,EASY LIKE SUNDAY,,other,,fast_food_burger,1.0,"Establishment name suggests a casual, quick-service burger joint","{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Establishment name suggests a casual, quick-service burger joint""}"
EDEN OF PLAZA,1212 PECAN AV,Charlotte,NC,,EDEN OF PLAZA,,other,,other,0.8,No clear indication of a specific type of food establishment,"{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of a specific type of food establishment""}"
EEZ FUSION,16925 BIRKDALE COMMONS PY,Charlotte,NC,,EEZ FUSION,,other,,fast_food_burger,0.8,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger joint""}"
EGGSPECTATION,14815 BALLANTYNE VILLAGE WY,Charlotte,NC,,EGGSPECTATION,,other,,fast_food_burger,0.9,Typical fast food establishment with a burger-focused menu,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food establishment with a burger-focused menu""}"
EINSTEIN BAGELS #4030,1501 SOUTH BV,Charlotte,NC,,EINSTEIN BAGELS,,other,,bakery_cafe,1.0,bagel establishment,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""bagel establishment""}"
EINSTEIN BROS. BAGELS #27462,1900 SELWYN AV,Charlotte,NC,,EINSTEIN BROS BAGELS,,other,,bakery_cafe,1.0,EINSTEIN BROS. BAGELS is a bakery and bagel shop,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""EINSTEIN BROS. BAGELS is a bakery and bagel shop""}"
EINSTEIN BROS. BAGELS #4042,13736 CONLAN CR,Charlotte,NC,,EINSTEIN BROS BAGELS,,other,,bakery_cafe,1.0,EINSTEIN BROS. BAGELS is a bakery and bagel shop,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""EINSTEIN BROS. BAGELS is a bakery and bagel shop""}"
EINSTEIN BROS. BAGELS #6137 - CONCOURSE E,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,EINSTEIN BROS BAGELS - CONCOURSE E,,other,,bakery_cafe,0.9,Einstein Bros. Bagels is a bakery and cafe chain,"{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Einstein Bros. Bagels is a bakery and cafe chain""}"
EL BUEN GUSTO,410 WESTINGHOUSE BV,Charlotte,NC,,EL BUEN GUSTO,,other,,mexican,1.0,EL BUEN GUSTO,"{""category"":""mexican"",""confidence"":1.0,""reason"":""EL BUEN GUSTO""}"
EL CARBONERO,4400 CENTRAL AV,Charlotte,NC,,EL CARBONERO,,other,,mexican,1.0,EL CARBONERO,"{""category"":""mexican"",""confidence"":1.0,""reason"":""EL CARBONERO""}"
EL CILANTRO,4709 MARGARET WALLACE RD,Charlotte,NC,,EL CILANTRO,,other,,mexican,1.0,EL CILANTRO,"{""category"":""mexican"",""confidence"":1.0,""reason"":""EL CILANTRO""}"
EL MALO HERMANITA,1705 CENTRAL AV,Charlotte,NC,,EL MALO HERMANITA,,other,,mexican,1.0,EL MALO HERMANITA,"{""category"":""mexican"",""confidence"":1.0,""reason"":""EL MALO HERMANITA""}"
EL PAISANO,5846 ALBEMARLE RD,Charlotte,NC,,EL PAISANO,,other,,mexican,1.0,EL PAISANO,"{""category"":""mexican"",""confidence"":1.0,""reason"":""EL PAISANO""}"
EL PULGARCITO,4816 CENTRAL AV,Charlotte,NC,,EL PULGARCITO,,other,,mexican,1.0,EL PULGARCITO,"{""category"":""mexican"",""confidence"":1.0,""reason"":""EL PULGARCITO""}"
EL TACO VELOZ,6701 N TRYON ST,Charlotte,NC,,EL TACO VELOZ,,other,,fast_food_mexican,0.9,Typical Mexican fast food establishment,"{""category"":""fast_food_mexican"",""confidence"":0.9,""reason"":""Typical Mexican fast food establishment""}"
ELEMENT CHARLOTTE UPTOWN,650 S CALDWELL ST,Charlotte,NC,,ELEMENT CHARLOTTE UPTOWN,,other,,full_service,0.8,"Upscale restaurant with a full service model, suggesting a sit-down dining experience","{""category"":""full_service"",""confidence"":0.8,""reason"":""Upscale restaurant with a full service model, suggesting a sit-down dining experience""}"
ELY TORTILLERIA,6301 N TRYON ST,Charlotte,NC,,ELY TORTILLERIA,,other,,mexican,0.9,tortilleria is a common term for a Mexican restaurant,"{""category"":""mexican"",""confidence"":0.9,""reason"":""tortilleria is a common term for a Mexican restaurant""}"
EMBASSY SUITES CHARLOTTE UPTOWN,401 E MARTIN LUTHER KING JR BV,Charlotte,NC,,EMBASSY SUITES CHARLOTTE UPTOWN,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
EMMY SQUARED SOUTH END,1932 HAWKINS ST,Charlotte,NC,,EMMY SQUARED SOUTH END,,other,,other,0.8,Restaurant or food establishment not clearly identified,"{""category"":""other"",""confidence"":0.8,""reason"":""Restaurant or food establishment not clearly identified""}"
ESTAMPA GAUCHA,401 E MARTIN LUTHER KING JR BV,Charlotte,NC,,ESTAMPA GAUCHA,,other,,mexican,1.0,"gaucho is a type of Argentine and Uruguayan cuisine, Estampa Gaucho's name suggests a connection to this style of food.","{""category"":""mexican"",""confidence"":1.0,""reason"":""gaucho is a type of Argentine and Uruguayan cuisine, Estampa Gaucho's name suggests a connection to this style of food.""}"
EUREST DINING,100 N TRYON ST,Charlotte,NC,,EUREST DINING,,other,,full_service,1.0,"Upscale dining experience, likely a restaurant","{""category"":""full_service"",""confidence"":1.0,""reason"":""Upscale dining experience, likely a restaurant""}"
EUREST DINING,11625 NORTH COMMUNITY HOUSE RD,Charlotte,NC,,EUREST DINING,,other,,full_service,1.0,Establishment name suggests fine dining experience,"{""category"":""full_service"",""confidence"":1.0,""reason"":""Establishment name suggests fine dining experience""}"
EUREST DINING,150 N COLLEGE ST,Charlotte,NC,,EUREST DINING,,other,,full_service,1.0,"Establishment has a full-service dining experience, indicating it is not a quick-service or fast-food establishment.","{""category"":""full_service"",""confidence"":1.0,""reason"":""Establishment has a full-service dining experience, indicating it is not a quick-service or fast-food establishment.""}"
EUREST DINING AT ELECTROLUX,10200 DAVID TAYLOR DR,Charlotte,NC,,EUREST DINING AT ELECTROLUX,,other,,full_service,1.0,hotel restaurant,"{""category"":""full_service"",""confidence"":1.0,""reason"":""hotel restaurant""}"
EVASION,4501 E INDEPENDENCE BV,Charlotte,NC,,EVASION,,other,,other,0.9,"No clear indication of food type, possibly a non-food establishment","{""category"":""other"",""confidence"":0.9,""reason"":""No clear indication of food type, possibly a non-food establishment""}"
EVER ANDALO/GROWLERS POURHOUSE,3116 N DAVIDSON ST,Charlotte,NC,,EVER ANDALO/GROWLERS POURHOUSE,,other,,bar,1.0,establishment serves beer and has a 'pourhouse' in its name,"{""category"":""bar"",""confidence"":1.0,""reason"":""establishment serves beer and has a 'pourhouse' in its name""}"
"EXCHANGE AT 36TH, THE",451 E 36TH ST,Charlotte,NC,,EXCHANGE AT 36TH,,other,,other,0.8,No clear indication of food establishment type,"{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of food establishment type""}"
"EXCHANGE, THE",1515 S TRYON ST,Charlotte,NC,,EXCHANGE,,other,,other,0.8,Exchange is a type of restaurant or eatery that does not fit into any specific category,"{""category"":""other"",""confidence"":0.8,""reason"":""Exchange is a type of restaurant or eatery that does not fit into any specific category""}"
FAHRENHEIT,222 S CALDWELL ST,Charlotte,NC,,FAHRENHEIT,,other,,fast_food_burger,0.8,Typical burger joint name and location,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical burger joint name and location""}"
FAIRFIELD INN & SUITES,7920 ARROWRIDGE BV,Charlotte,NC,,FAIRFIELD INN & SUITES,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
FAIRFIELD INN & SUITES CHARLOTTE,8540 E INDEPENDENCE BV,Charlotte,NC,,FAIRFIELD INN & SUITES CHARLOTTE,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
FAIRFIELD INN & SUITES UNIVERSITY,535 COLLINS-AIKMAN DR,Charlotte,NC,,FAIRFIELD INN & SUITES UNIVERSITY,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
FAIRFIELD INN AND SUITES,12228 PARK RD,Charlotte,NC,,FAIRFIELD INN AND SUITES,,other,,institutional,1.0,hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""hotel""}"
FAMILY DOUGH BAGELS,7102 BRIGHTON PARK DR,Charlotte,NC,,FAMILY DOUGH BAGELS,,other,,bakery_cafe,1.0,bagel shop,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""bagel shop""}"
FAMOUS TOASTERY,12715 CONNER DR,Charlotte,NC,,FAMOUS TOASTERY,,other,,bakery_cafe,0.8,"Establishment serves toast and other baked goods, indicating a bakery-cafe type of business","{""category"":""bakery_cafe"",""confidence"":0.8,""reason"":""Establishment serves toast and other baked goods, indicating a bakery-cafe type of business""}"
FAMOUS TOASTERY,2127 AYRSLEY TOWN BV,Charlotte,NC,,FAMOUS TOASTERY,,other,,bakery_cafe,0.9,"Establishment specializes in toast and other baked goods, typical of a bakery-cafe","{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Establishment specializes in toast and other baked goods, typical of a bakery-cafe""}"
FAMOUS TOASTERY,8933 J M KEYNES DR,Charlotte,NC,,FAMOUS TOASTERY,,other,,bakery_cafe,0.9,Establishment serves toast and likely has baked goods,"{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Establishment serves toast and likely has baked goods""}"
FAMOUS TOASTERY DAVIDSON,101 N MAIN ST,Charlotte,NC,,FAMOUS TOASTERY DAVIDSON,,other,,bakery_cafe,0.8,"Establishment serves toast and other baked goods, indicating a bakery-cafe classification.","{""category"":""bakery_cafe"",""confidence"":0.8,""reason"":""Establishment serves toast and other baked goods, indicating a bakery-cafe classification.""}"
FAMOUS TOASTERY/BALLANTYNE,8430 REA RD,Charlotte,NC,,FAMOUS TOASTERY/BALLANTYNE,,other,,bakery_cafe,1.0,Famous Toastery is a bakery and cafe chain known for its breakfast and brunch items.,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""Famous Toastery is a bakery and cafe chain known for its breakfast and brunch items.""}"
FAST LANE EATERY,13429 STATESVILLE RD,Charlotte,NC,,FAST LANE EATERY,,other,,fast_food_burger,0.8,Typical fast food establishment name and location,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food establishment name and location""}"
FIN & FINO,135 LEVINE AVENUE OF THE ARTS,Charlotte,NC,,FIN & FINO,,other,,other,0.8,Restaurant or bar with no clear indication of cuisine type,"{""category"":""other"",""confidence"":0.8,""reason"":""Restaurant or bar with no clear indication of cuisine type""}"
FIN AND FINO,8630 LINDHOLM DR,Charlotte,NC,,FIN AND FINO,,other,,fast_food_burger,1.0,Typical fast food burger establishment,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger establishment""}"
FINZ AND FEATHERZ,700 ATANDO AV,Charlotte,NC,,FINZ AND FEATHERZ,,other,,other,0.8,"No clear indication of food type, possibly a bar or entertainment venue","{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of food type, possibly a bar or entertainment venue""}"
FIREBIRDS,3920 SHARON RD,Charlotte,NC,,FIREBIRDS,,other,,fast_food_chicken,1.0,FIREBIRDS is a well-known fast food chain specializing in chicken,"{""category"":""fast_food_chicken"",""confidence"":1.0,""reason"":""FIREBIRDS is a well-known fast food chain specializing in chicken""}"
FIREBIRDS/STONECREST,7716 REA RD,Charlotte,NC,,FIREBIRDS/STONECREST,,other,,fast_food_burger,0.9,Typical fast food chain name,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food chain name""}"
FLIGHT,1949 E 7TH ST,Charlotte,NC,,FLIGHT,,other,,other,1.0,No clear indication of food type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type""}"
FLIP-A-LOS,7629 PINEVILLE-MATTHEWS RD,Charlotte,NC,,FLIP-A-LOS,,other,,fast_food_mexican,0.8,Mexican food establishment,"{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""Mexican food establishment""}"
FLOWER CHILD,1537 CAMDEN RD,Charlotte,NC,,FLOWER CHILD,,other,,other,1.0,No clear indication of food type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type""}"
FLOWER CHILD BALLANTYNE,15210 BOWL ST,Charlotte,NC,,FLOWER CHILD BALLANTYNE,,other,,coffee_shop,0.8,contains keywords 'flower child' and 'ballantyne',"{""category"":""coffee_shop"",""confidence"":0.8,""reason"":""contains keywords 'flower child' and 'ballantyne'""}"
FLY KID FLY,15119 BOWL ST,Charlotte,NC,,FLY KID FLY,,other,,food_truck,1.0,"No specific category provided, but 'fly kid fly' suggests a casual, possibly street food establishment","{""category"":""food_truck"",""confidence"":1.0,""reason"":""No specific category provided, but 'fly kid fly' suggests a casual, possibly street food establishment""}"
FLYIN LION MINISTRIES,8600 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,FLYIN LION MINISTRIES,,other,,other,1.0,No clear indication of food establishment,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food establishment""}"
